time,lift,day_status
2015-01-10 09:49:12,Peak,1
2015-01-10 09:59:12,Peak 2 Peak,1
2015-01-10 10:02:05,Catskinner,1
2015-01-10 10:22:12,7th Heaven,1
2015-01-10 10:22:33,Glacier,1
2015-01-10 10:23:02,Showcase,1
2015-01-10 10:23:15,T-BAR,1
2015-01-10 10:24:06,Crystal,1
2015-01-10 10:24:19,Blackcomb Glacier,1
2015-01-10 10:24:48,Spanky's Ladder,1
2015-01-10 10:39:05,Symphony,1
2015-01-10 10:39:19,Flute Bowl,1
2015-01-11 00:00:00,Franz's,0
2015-01-11 09:19:06,Excalibur Gondola (Lower),1
2015-01-11 09:19:06,Excalibur Gondola,1
2015-01-11 09:19:19,Excelerator,1
2015-01-11 09:19:32,Blackcomb Gondola,1
2015-01-11 09:19:46,Fitzsimmons,1
2015-01-11 09:20:06,Blackcomb Gondola (Lower),1
2015-01-11 09:20:19,Red Chair,1
2015-01-11 09:20:33,Creekside Gondola,1
2015-01-11 09:20:46,Emerald,1
2015-01-11 09:21:12,Garbanzo,1
2015-01-11 09:21:26,Whistler Village Gondola,1
2015-01-11 09:21:26,Whistler Village Gondola (Lower),1
2015-01-11 09:30:06,Jersey Cream,1
2015-01-11 09:38:05,Olympic,1
2015-01-11 09:47:13,Peak,1
2015-01-11 09:48:11,Peak 2 Peak,1
2015-01-11 09:50:06,T-BAR,1
2015-01-11 09:54:13,Harmony,1
2015-01-11 09:56:06,Crystal,1
2015-01-11 10:08:05,Catskinner,1
2015-01-11 10:18:05,Showcase,1
2015-01-11 10:19:12,7th Heaven,1
2015-01-11 10:19:33,Glacier,1
2015-01-11 10:21:05,Blackcomb Glacier,1
2015-01-11 10:21:35,Spanky's Ladder,1
2015-01-11 10:46:05,Symphony,1
2015-01-11 10:57:05,Flute Bowl,1
2015-01-12 00:00:00,Franz's,0
2015-01-12 00:00:00,T-BAR,0
2015-01-12 09:15:06,Creekside Gondola,1
2015-01-12 09:16:16,Excalibur Gondola (Lower),1
2015-01-12 09:16:16,Excalibur Gondola,1
2015-01-12 09:16:29,Excelerator,1
